point_win_probability,expected_game_win_rate,expected_set_win_rate,expected_match_win_rate,expected_p1_break_points_earned_per_match,expected_p1_break_points_converted_per_match,expected_p1_break_points_faced_per_match,expected_p1_break_points_saved_per_match,p1_break_point_conversion_rate,p1_break_point_save_rate
0.4500,0.391200,0.183667,0.095000,8.661000,3.905500,11.842500,5.356000,0.450929,0.452269
0.4520,0.389800,0.188667,0.103500,9.129500,4.148500,12.014500,5.462500,0.454406,0.454659
0.4540,0.387600,0.211333,0.113500,9.074500,4.134000,11.922500,5.390000,0.455562,0.452086
0.4560,0.389800,0.221000,0.117000,9.026000,4.137000,12.188500,5.661000,0.458343,0.464454
0.4580,0.386800,0.230000,0.136000,9.395500,4.291000,12.103500,5.614500,0.456708,0.463874
0.4600,0.393800,0.234000,0.143500,9.365000,4.336500,12.019000,5.507000,0.463054,0.458191
0.4620,0.401600,0.247000,0.150000,9.688500,4.466500,12.097500,5.560500,0.461010,0.459640
0.4640,0.400800,0.265333,0.173500,9.769000,4.557000,12.176000,5.696000,0.466476,0.467806
0.4660,0.413400,0.255667,0.187000,9.995000,4.704000,12.152000,5.630000,0.470635,0.463298
0.4680,0.429800,0.292000,0.203500,10.170500,4.747500,12.233000,5.748000,0.466791,0.469877
0.4700,0.413600,0.299333,0.210000,10.137000,4.795000,12.201500,5.752500,0.473020,0.471458
0.4720,0.417600,0.309000,0.221000,10.311000,4.819500,12.213000,5.773500,0.467413,0.472734
0.4740,0.439400,0.316667,0.234500,10.459000,4.959000,12.348500,5.832000,0.474137,0.472284
0.4760,0.436400,0.338333,0.264000,10.601000,5.102000,12.291000,5.840500,0.481275,0.475185
0.4780,0.446600,0.347667,0.286500,11.009000,5.269500,12.366500,5.861500,0.478654,0.473982
0.4800,0.446800,0.360667,0.280500,10.871000,5.174500,12.330000,5.900500,0.475991,0.478548
0.4820,0.458000,0.375333,0.305500,10.816000,5.293500,12.309000,5.943000,0.489414,0.482817
0.4840,0.463000,0.387000,0.338500,11.098000,5.449500,12.382500,6.007000,0.491034,0.485120
0.4860,0.460400,0.386667,0.372500,11.269500,5.494000,12.213500,5.963000,0.487511,0.488230
0.4880,0.467600,0.401333,0.387000,11.439500,5.598500,12.166000,5.928500,0.489401,0.487301
0.4900,0.481800,0.420333,0.378000,11.365500,5.533000,12.099000,5.878000,0.486824,0.485825
0.4920,0.483600,0.437333,0.430000,11.691000,5.803000,12.224500,6.005000,0.496365,0.491227
0.4940,0.471800,0.461000,0.440500,11.966000,5.905500,12.291500,6.125500,0.493523,0.498353
0.4960,0.505000,0.472667,0.450500,11.647500,5.763000,12.073500,6.017500,0.494784,0.498406
0.4980,0.485800,0.487000,0.477500,11.966500,5.937000,12.165000,6.062000,0.496135,0.498315
0.5000,0.494000,0.477000,0.500500,11.737500,5.918000,11.792500,5.873500,0.504196,0.498071
0.5020,0.497200,0.506333,0.521000,11.836000,5.954500,11.683500,5.850500,0.503084,0.500749
0.5040,0.505000,0.540000,0.534000,12.203000,6.092500,11.817500,5.928000,0.499262,0.501629
0.5060,0.519200,0.528333,0.565500,12.028000,6.127000,11.716000,5.951000,0.509395,0.507938
0.5080,0.516600,0.558333,0.602500,12.212500,6.218500,11.531000,5.864000,0.509191,0.508542
0.5100,0.517800,0.578333,0.612000,12.201000,6.195000,11.566500,5.927000,0.507745,0.512428
0.5120,0.525400,0.585667,0.636500,12.288000,6.360000,11.563500,5.931500,0.517578,0.512950
0.5140,0.541400,0.586000,0.651000,12.304000,6.290500,11.127500,5.696000,0.511257,0.511885
0.5160,0.544600,0.612000,0.644500,12.206500,6.329500,11.141000,5.683500,0.518535,0.510143
0.5180,0.544400,0.631000,0.699500,12.239000,6.371500,10.814000,5.542500,0.520590,0.512530
0.5200,0.549800,0.639333,0.710500,12.281000,6.387500,10.994000,5.741000,0.520112,0.522194
0.5220,0.564800,0.666667,0.726500,12.211000,6.392000,10.646000,5.534000,0.523462,0.519820
0.5240,0.559800,0.657000,0.753500,12.375000,6.405500,10.542500,5.530500,0.517616,0.524591
0.5260,0.558600,0.660000,0.762500,12.197000,6.364000,10.316500,5.429000,0.521768,0.526244
0.5280,0.559600,0.671667,0.779500,12.169000,6.447500,10.187000,5.359000,0.529830,0.526063
0.5300,0.574400,0.703333,0.793000,12.467500,6.500000,10.197000,5.388000,0.521356,0.528391
0.5320,0.576000,0.720000,0.787500,12.236500,6.472000,10.084500,5.348500,0.528909,0.530368
0.5340,0.586000,0.754667,0.809500,12.152000,6.474500,10.015000,5.371000,0.532793,0.536296
0.5360,0.574200,0.746000,0.815500,11.982500,6.418500,9.791000,5.231500,0.535656,0.534317
0.5380,0.606600,0.752333,0.854000,12.098000,6.491000,9.435500,5.027000,0.536535,0.532775
0.5400,0.612600,0.753000,0.855500,12.035500,6.482000,9.512000,5.130000,0.538573,0.539319
0.5420,0.610000,0.768000,0.870500,11.959000,6.478000,9.374500,5.122000,0.541684,0.546376
0.5440,0.609800,0.782333,0.882500,12.101500,6.482500,9.071000,4.911000,0.535677,0.541396
0.5460,0.607800,0.793333,0.888000,11.839500,6.520000,9.173000,5.017500,0.550699,0.546986
0.5480,0.614600,0.803333,0.906500,11.840500,6.524000,8.978500,4.959500,0.550990,0.552375
0.5500,0.629200,0.802000,0.896000,11.849000,6.487000,8.801500,4.832500,0.547472,0.549054
0.5520,0.620400,0.819667,0.921000,11.891500,6.544000,8.656000,4.763000,0.550309,0.550254
0.5540,0.624600,0.843000,0.923000,11.649500,6.508000,8.520000,4.742000,0.558651,0.556573
0.5560,0.635800,0.862000,0.929000,11.683500,6.471000,8.270500,4.569500,0.553858,0.552506
0.5580,0.649200,0.849333,0.944500,11.635000,6.448500,8.183500,4.632500,0.554233,0.566078
0.5600,0.633400,0.863667,0.947500,11.619000,6.452500,8.004500,4.476000,0.555340,0.559185
0.5620,0.658400,0.855333,0.949500,11.305000,6.369000,7.745500,4.368000,0.563379,0.563940
0.5640,0.662000,0.872333,0.953500,11.242000,6.437500,7.831000,4.415000,0.572629,0.563785
0.5660,0.678800,0.880000,0.960000,11.512000,6.477000,7.681500,4.277000,0.562630,0.556792
0.5680,0.658400,0.891333,0.964000,11.390500,6.441000,7.469500,4.196000,0.565471,0.561751
0.5700,0.674200,0.890333,0.960500,11.158000,6.393000,7.410000,4.204500,0.572952,0.567409
0.5720,0.670000,0.908333,0.969500,11.054500,6.366500,7.268500,4.180000,0.575919,0.575084
0.5740,0.684400,0.907333,0.974000,11.058500,6.384000,7.055500,4.052500,0.577293,0.574375
0.5760,0.682800,0.906000,0.977500,11.027000,6.345000,6.898000,3.936000,0.575406,0.570600
0.5780,0.689000,0.903333,0.980500,10.978000,6.303000,6.804500,3.942500,0.574148,0.579396
0.5800,0.689800,0.913667,0.980500,10.934000,6.326000,6.706500,3.866000,0.578562,0.576456
0.5820,0.711400,0.926667,0.986000,10.749000,6.272500,6.543500,3.823500,0.583543,0.584320
0.5840,0.711800,0.940000,0.987500,10.761500,6.252500,6.273500,3.673500,0.581006,0.585558
0.5860,0.708600,0.941333,0.989000,10.723500,6.273500,6.302000,3.700000,0.585024,0.587115
0.5880,0.713200,0.945000,0.986500,10.622000,6.275500,6.163000,3.566500,0.590802,0.578695
0.5900,0.715000,0.947667,0.990500,10.508500,6.231500,6.162500,3.637500,0.592996,0.590264
0.5920,0.721800,0.955667,0.993000,10.463500,6.230000,5.925000,3.506000,0.595403,0.591730
0.5940,0.728400,0.956000,0.994500,10.465000,6.158500,5.826000,3.507500,0.588485,0.602043
0.5960,0.741400,0.960333,0.994000,10.463000,6.251500,5.688000,3.337000,0.597486,0.586674
0.5980,0.722400,0.957000,0.996000,10.371000,6.180500,5.623500,3.355500,0.595941,0.596692
0.6000,0.733400,0.957000,0.994000,10.203000,6.192500,5.538500,3.317000,0.606929,0.598899
